User ID,Age,Gender,Location,Order Count,Total Spent,First Order Date,Last Order Date,Product Category
15,20.769463854007665,F,Phoenix,3,67.53335305493135,1970-01-01 00:00:01.667184957,1970-08-15 00:00:01.667184957,Apparel
16,29.102835123824917,M,New York,1,43.49397268727471,1970-01-01 00:00:01.702823357,1970-11-10 00:00:01.702823357,Homeware
17,30.64040602420547,F,Los Angeles,4,50.64099929416754,1970-01-01 00:00:01.664541857,1970-08-17 00:00:01.664541857,Apparel
18,29.93294552352039,F,Los Angeles,4,130.01438294689606,1970-01-01 00:00:01.653715620,1970-03-22 00:00:01.653715620,Homeware
19,29.063032738387722,F,Houston,4,50.44297837446079,1970-01-01 00:00:01.684718681,1970-02-21 00:00:01.684718681,Apparel
20,35.60021406643505,F,New York,2,42.14963113596053,1970-01-01 00:00:01.682274256,1970-06-15 00:00:01.682274256,Apparel
21,32.72298941368205,F,Phoenix,1,56.81705256205939,1970-01-01 00:00:01.690493681,1970-07-07 00:00:01.690493681,Apparel
22,33.13890235105366,F,Houston,0,40.353442755300925,1970-01-01 00:00:01.691462408,1970-01-12 00:00:01.691462408,Homeware
23,34.327250799320694,F,Los Angeles,3,118.42303805635213,1970-01-01 00:00:01.657046146,1970-12-27 00:00:01.657046146,Apparel
24,25.10533784380675,F,Los Angeles,1,41.761967639431646,1970-01-01 00:00:01.665404879,1970-12-15 00:00:01.665404879,Apparel
25,29.73385378062869,F,New York,0,48.825693353475394,1970-01-01 00:00:01.677412450,1970-01-28 00:00:01.677412450,Apparel
26,28.901061950950854,M,Chicago,2,35.55127770338663,1970-01-01 00:00:01.672719150,1970-09-26 00:00:01.672719150,Homeware
27,26.078903999881035,M,Los Angeles,3,74.21584895530806,1970-01-01 00:00:01.659944496,1970-10-21 00:00:01.659944496,Apparel
28,36.20542929682398,M,Chicago,0,99.6978762004564,1970-01-01 00:00:01.697811167,1970-01-07 00:00:01.697811167,Apparel
29,18.37374731000557,F,Los Angeles,2,28.85420568111272,1970-01-01 00:00:01.646736005,1970-07-27 00:00:01.646736005,Homeware
30,29.803585003521576,M,Chicago,1,136.51784363914277,1970-01-01 00:00:01.700711887,1970-01-26 00:00:01.700711887,Accessories
31,34.45435374834025,F,Los Angeles,1,70.02861471064742,1970-01-01 00:00:01.677976009,1970-02-23 00:00:01.677976009,Apparel
32,34.33767716726206,F,Phoenix,1,72.39881694844021,1970-01-01 00:00:01.676642777,1970-09-29 00:00:01.676642777,Apparel
33,37.64381103848657,F,New York,3,39.5173724185661,1970-01-01 00:00:01.672867301,1970-12-27 00:00:01.672867301,Apparel
34,31.14716993988838,M,Houston,2,110.12372380092584,1970-01-01 00:00:01.684994611,1970-04-18 00:00:01.684994611,Apparel
35,30.353694503114113,F,Los Angeles,3,35.20500917351335,1970-01-01 00:00:01.695047640,1970-12-12 00:00:01.695047640,Apparel
36,24.36409576686581,F,Phoenix,2,66.33102714646873,1970-01-01 00:00:01.684909774,1970-04-23 00:00:01.684909774,Homeware
37,35.098490702939905,M,Phoenix,1,54.73536316079831,1970-01-01 00:00:01.673674364,1970-10-07 00:00:01.673674364,Accessories
38,28.725543688336423,F,Los Angeles,0,16.892790439926404,1970-01-01 00:00:01.662877683,1970-02-10 00:00:01.662877683,Accessories
39,21.8902601901981,F,New York,5,28.925682364478565,1970-01-01 00:00:01.646199583,1970-08-06 00:00:01.646199583,Apparel
40,40.3515055147259,F,Chicago,3,34.57160101836477,1970-01-01 00:00:01.655115527,1970-08-10 00:00:01.655115527,Apparel
41,34.48299014306866,F,Chicago,1,58.47238641371035,1970-01-01 00:00:01.683516071,1970-09-30 00:00:01.683516071,Apparel
42,34.83227848715477,M,New York,0,145.0150923390879,1970-01-01 00:00:01.690295245,1970-04-07 00:00:01.690295245,Accessories
43,37.68242726183034,M,Phoenix,3,118.75616715446915,1970-01-01 00:00:01.701240674,1970-01-21 00:00:01.701240674,Accessories
44,24.228500097640964,F,Houston,1,25.659455493180936,1970-01-01 00:00:01.657864699,1970-04-07 00:00:01.657864699,Apparel
45,29.29590939806681,F,Los Angeles,3,64.64688150445336,1970-01-01 00:00:01.649273336,1970-04-17 00:00:01.649273336,Homeware
46,24.241513761217195,M,New York,1,88.11163816913091,1970-01-01 00:00:01.660538018,1970-01-24 00:00:01.660538018,Apparel
47,33.71667386157034,F,Los Angeles,5,76.77607646278084,1970-01-01 00:00:01.657025371,1970-09-28 00:00:01.657025371,Apparel
48,21.240847306476915,F,Los Angeles,2,53.1758820204501,1970-01-01 00:00:01.685391946,1970-11-05 00:00:01.685391946,Apparel
49,23.562953277736185,F,New York,6,90.1345930956174,1970-01-01 00:00:01.684501669,1970-12-26 00:00:01.684501669,Apparel
50,38.68899509569168,F,Phoenix,3,47.15341517531382,1970-01-01 00:00:01.677347839,1970-05-16 00:00:01.677347839,Accessories
51,31.916555620484086,M,Chicago,2,36.20474243618541,1970-01-01 00:00:01.646518316,1970-03-19 00:00:01.646518316,Apparel
52,32.77819695518976,M,Houston,0,180.8261884512297,1970-01-01 00:00:01.648382795,1970-09-11 00:00:01.648382795,Homeware
53,26.64527581677702,M,Phoenix,1,35.52263547537402,1970-01-01 00:00:01.670784987,1970-03-22 00:00:01.670784987,Accessories
54,14.00657071378962,M,Los Angeles,1,74.44050211213394,1970-01-01 00:00:01.657356114,1970-11-18 00:00:01.657356114,Apparel
55,22.851516089527255,F,Houston,2,41.186268018055806,1970-01-01 00:00:01.697157037,1970-10-09 00:00:01.697157037,Apparel
56,25.293806930432755,M,Phoenix,4,56.104732578791,1970-01-01 00:00:01.692942143,1970-01-09 00:00:01.692942143,Apparel
57,45.16874925593355,F,Los Angeles,1,106.94579160575717,1970-01-01 00:00:01.678026179,1970-12-15 00:00:01.678026179,Apparel
58,25.76261103049807,F,Chicago,0,34.52979838387786,1970-01-01 00:00:01.680160743,1970-08-30 00:00:01.680160743,Homeware
59,26.269701137208738,M,New York,1,24.316084700784295,1970-01-01 00:00:01.648279398,1970-03-31 00:00:01.648279398,Accessories
60,29.545404589745413,F,Houston,2,118.03663578223171,1970-01-01 00:00:01.699426300,1970-03-08 00:00:01.699426300,Apparel
61,19.972101731223955,M,Chicago,1,33.430796169400104,1970-01-01 00:00:01.662441988,1970-03-22 00:00:01.662441988,Homeware
62,29.49840674547489,F,Los Angeles,1,41.89989579576455,1970-01-01 00:00:01.669676519,1970-12-10 00:00:01.669676519,Apparel
63,27.031488568305406,M,Phoenix,4,50.6408575457356,1970-01-01 00:00:01.673533904,1970-04-18 00:00:01.673533904,Homeware
64,31.05152932716743,M,New York,2,43.79888941696791,1970-01-01 00:00:01.649890775,1970-05-07 00:00:01.649890775,Accessories
65,29.211173499485376,F,Phoenix,1,149.57155094587952,1970-01-01 00:00:01.658548373,1970-10-01 00:00:01.658548373,Homeware
66,23.618563394044024,F,New York,3,188.70696098717843,1970-01-01 00:00:01.660528849,1970-04-09 00:00:01.660528849,Apparel
67,34.61918402698461,M,Los Angeles,0,26.769538347694013,1970-01-01 00:00:01.670528822,1970-01-31 00:00:01.670528822,Homeware
68,38.4620034991382,M,Chicago,1,67.366529184882,1970-01-01 00:00:01.647993338,1970-02-21 00:00:01.647993338,Apparel
69,36.597451515240365,F,Los Angeles,1,98.63750946303655,1970-01-01 00:00:01.647166594,1970-09-30 00:00:01.647166594,Apparel
70,37.408039164556904,M,New York,4,98.03766746711837,1970-01-01 00:00:01.668320518,1970-09-10 00:00:01.668320518,Apparel
71,33.66693778128865,M,Phoenix,1,57.17400055115355,1970-01-01 00:00:01.699765550,1970-09-22 00:00:01.699765550,Accessories
72,29.407904076439927,M,Houston,3,65.11100859271181,1970-01-01 00:00:01.659099633,1970-09-21 00:00:01.659099633,Apparel
73,34.38813226789943,M,New York,2,59.74048409167686,1970-01-01 00:00:01.695454298,1970-04-03 00:00:01.695454298,Apparel
74,28.690284672399116,M,Los Angeles,1,66.86444454856124,1970-01-01 00:00:01.657126034,1970-10-07 00:00:01.657126034,Apparel
75,38.57630726578988,F,Chicago,1,66.41899956308207,1970-01-01 00:00:01.698178383,1970-06-28 00:00:01.698178383,Homeware
76,29.569461994034487,F,Phoenix,1,64.93553992407814,1970-01-01 00:00:01.689776134,1970-06-21 00:00:01.689776134,Accessories
77,23.799588240417236,M,Los Angeles,1,31.19418822636939,1970-01-01 00:00:01.656441102,1970-08-09 00:00:01.656441102,Accessories
78,30.643896335680264,M,Los Angeles,5,32.71585948896511,1970-01-01 00:00:01.690519511,1970-05-09 00:00:01.690519511,Homeware
79,35.31823506365188,M,Phoenix,2,51.12222607191443,1970-01-01 00:00:01.661722021,1970-03-03 00:00:01.661722021,Homeware
80,28.645891522306535,F,Phoenix,3,66.59826519076972,1970-01-01 00:00:01.707498878,1970-06-27 00:00:01.707498878,Homeware
81,28.299286879538972,M,Los Angeles,2,43.620334741819235,1970-01-01 00:00:01.704490156,1970-05-08 00:00:01.704490156,Apparel
82,34.203262732916315,F,Chicago,1,39.83744132585312,1970-01-01 00:00:01.693560778,1970-11-03 00:00:01.693560778,Apparel
83,29.67141507359281,M,Phoenix,1,54.09864009084481,1970-01-01 00:00:01.677741929,1970-01-07 00:00:01.677741929,Apparel
84,36.04004253140119,M,Los Angeles,3,54.219465866778584,1970-01-01 00:00:01.700214205,1970-08-02 00:00:01.700214205,Accessories
85,29.0380895707542,M,Chicago,3,55.84173205509744,1970-01-01 00:00:01.691231764,1970-01-06 00:00:01.691231764,Apparel
86,25.847854516600762,F,Chicago,2,25.399954487593153,1970-01-01 00:00:01.701340433,1970-03-09 00:00:01.701340433,Apparel
87,29.949091193264774,F,New York,1,36.90681119099345,1970-01-01 00:00:01.679232535,1970-04-05 00:00:01.679232535,Homeware
88,34.84287494764911,F,Los Angeles,2,30.92038436325025,1970-01-01 00:00:01.680934579,1970-11-12 00:00:01.680934579,Apparel
89,24.421480838842275,F,Los Angeles,1,63.27579617517531,1970-01-01 00:00:01.707695952,1970-07-04 00:00:01.707695952,Apparel
90,28.083232324060457,M,New York,3,63.826387268115944,1970-01-01 00:00:01.672121059,1970-03-17 00:00:01.672121059,Homeware
91,29.931015993319633,M,Houston,1,63.43817819792145,1970-01-01 00:00:01.706114553,1970-05-16 00:00:01.706114553,Apparel
92,34.655657367751814,M,Phoenix,2,69.55702216234396,1970-01-01 00:00:01.704524934,1970-06-07 00:00:01.704524934,Homeware
93,31.861570085956988,M,Chicago,1,32.668574776525965,1970-01-01 00:00:01.669206046,1970-10-20 00:00:01.669206046,Accessories
94,19.452156248545517,M,New York,3,38.698864718620015,1970-01-01 00:00:01.666766920,1970-08-06 00:00:01.666766920,Accessories
95,21.359137598133827,M,New York,2,81.62829227760623,1970-01-01 00:00:01.661107274,1970-07-10 00:00:01.661107274,Apparel
96,21.91223944363921,M,Phoenix,2,53.738844411122585,1970-01-01 00:00:01.687412918,1970-02-16 00:00:01.687412918,Apparel
97,34.01718391327407,M,New York,0,50.533661335643934,1970-01-01 00:00:01.676101364,1970-08-15 00:00:01.676101364,Apparel
98,31.2690137355604,M,New York,3,31.066628100673178,1970-01-01 00:00:01.700042257,1970-06-20 00:00:01.700042257,Homeware
99,35.38991518883559,M,Houston,3,40.03066899193787,1970-01-01 00:00:01.674633807,1970-08-30 00:00:01.674633807,Homeware
100,34.47790990839916,F,Phoenix,1,71.88283754178424,1970-01-01 00:00:01.656091416,1970-09-29 00:00:01.656091416,Apparel
101,44.505238044436645,F,Chicago,3,154.21167941021335,1970-01-01 00:00:01.684453894,1970-05-26 00:00:01.684453894,Apparel
102,23.62964184874743,M,Houston,0,21.645968242758624,1970-01-01 00:00:01.688582630,1970-12-19 00:00:01.688582630,Accessories
103,31.907339644574396,M,New York,1,42.67757925404625,1970-01-01 00:00:01.702205905,1970-02-05 00:00:01.702205905,Apparel
104,27.24609163997265,M,Chicago,1,51.53613132541963,1970-01-01 00:00:01.684404204,1970-09-30 00:00:01.684404204,Apparel
105,26.191280619417547,M,New York,5,27.922471371379437,1970-01-01 00:00:01.700216557,1970-04-18 00:00:01.700216557,Apparel
106,30.290210989020512,M,New York,3,118.71531320877806,1970-01-01 00:00:01.680781403,1970-03-15 00:00:01.680781403,Apparel
107,41.86164977128544,F,Chicago,1,62.85273931755318,1970-01-01 00:00:01.705163653,1970-03-01 00:00:01.705163653,Accessories
108,29.207544952563264,M,New York,0,48.85848000761146,1970-01-01 00:00:01.656560091,1970-05-04 00:00:01.656560091,Homeware
109,29.327008112500664,F,New York,3,74.24425505694974,1970-01-01 00:00:01.701631752,1970-08-31 00:00:01.701631752,Apparel
110,36.80463755623831,M,Houston,1,38.168988050470944,1970-01-01 00:00:01.691956758,1970-06-12 00:00:01.691956758,Accessories
111,37.687372184177725,F,Phoenix,3,52.624166823584396,1970-01-01 00:00:01.693215909,1970-02-07 00:00:01.693215909,Homeware
112,24.16566520041956,F,Houston,0,34.81601842867804,1970-01-01 00:00:01.654617378,1970-01-21 00:00:01.654617378,Apparel
113,28.66601219863529,M,Phoenix,1,48.160247043332895,1970-01-01 00:00:01.674720774,1970-02-05 00:00:01.674720774,Apparel
114,21.928850237497056,F,Chicago,1,54.73875722607218,1970-01-01 00:00:01.673478060,1970-09-22 00:00:01.673478060,Apparel
115,22.37246654048197,F,Phoenix,1,221.80121414225778,1970-01-01 00:00:01.664459595,1970-11-06 00:00:01.664459595,Accessories
116,34.2824199300272,M,Houston,2,32.289714918985354,1970-01-01 00:00:01.661509963,1970-01-11 00:00:01.661509963,Accessories
117,30.864280130674302,M,Chicago,2,39.36586038616079,1970-01-01 00:00:01.690433121,1970-11-28 00:00:01.690433121,Apparel
118,29.46678038703555,F,Houston,2,101.08614424037606,1970-01-01 00:00:01.651805415,1970-08-01 00:00:01.651805415,Apparel
119,31.50553097997122,F,Los Angeles,1,23.148538059403872,1970-01-01 00:00:01.674948521,1970-03-13 00:00:01.674948521,Apparel
120,29.520056049747623,F,New York,1,58.99795483458061,1970-01-01 00:00:01.674689667,1970-08-18 00:00:01.674689667,Apparel
121,29.593448845359898,F,New York,1,48.1790997891839,1970-01-01 00:00:01.697061009,1970-05-14 00:00:01.697061009,Apparel
122,34.335374995957366,F,Los Angeles,3,74.2338574736888,1970-01-01 00:00:01.699882036,1970-08-05 00:00:01.699882036,Homeware
123,31.204870307371056,M,Chicago,3,34.79116613334988,1970-01-01 00:00:01.683727353,1970-01-08 00:00:01.683727353,Apparel
124,22.362138905043196,M,New York,0,18.43788422997881,1970-01-01 00:00:01.664931066,1970-12-07 00:00:01.664931066,Accessories
125,19.85969231380384,F,Houston,2,43.1022934950994,1970-01-01 00:00:01.699969580,1970-09-19 00:00:01.699969580,Apparel
126,30.04083182514757,F,Houston,1,59.48879958458078,1970-01-01 00:00:01.671135976,1970-01-30 00:00:01.671135976,Apparel
127,31.39911447332248,F,Houston,2,38.65654333161804,1970-01-01 00:00:01.701842300,1970-04-15 00:00:01.701842300,Accessories
128,25.616898392503156,M,New York,2,84.75549645674933,1970-01-01 00:00:01.648250398,1970-05-20 00:00:01.648250398,Apparel
129,39.49451117418489,M,Houston,5,36.60681205539079,1970-01-01 00:00:01.676946361,1970-11-30 00:00:01.676946361,Homeware
130,29.75559297063131,M,Phoenix,3,101.18121473855308,1970-01-01 00:00:01.645727790,1970-06-27 00:00:01.645727790,Apparel
131,31.37645187021182,M,Chicago,4,54.035122311320286,1970-01-01 00:00:01.657347225,1970-04-18 00:00:01.657347225,Accessories
132,27.1053264368343,M,Houston,5,31.541679561549973,1970-01-01 00:00:01.646262513,1970-07-08 00:00:01.646262513,Apparel
133,33.35462508502519,F,Los Angeles,2,44.313157769679215,1970-01-01 00:00:01.674037502,1970-08-21 00:00:01.674037502,Apparel
134,31.08140055336672,F,Houston,0,61.26427750941695,1970-01-01 00:00:01.653601102,1970-05-01 00:00:01.653601102,Apparel
135,26.564677464451055,M,Los Angeles,5,61.487232972886666,1970-01-01 00:00:01.657442579,1970-12-30 00:00:01.657442579,Apparel
136,24.253598004561336,F,Phoenix,0,40.96171851996715,1970-01-01 00:00:01.657731168,1970-07-30 00:00:01.657731168,Accessories
137,30.991787430267216,F,Los Angeles,2,85.42738206490775,1970-01-01 00:00:01.691484661,1970-02-09 00:00:01.691484661,Apparel
138,27.939253771279976,M,Houston,3,28.49155241201152,1970-01-01 00:00:01.703627301,1970-11-09 00:00:01.703627301,Accessories
139,28.351262907889176,M,New York,4,37.37710632912375,1970-01-01 00:00:01.699633345,1970-04-07 00:00:01.699633345,Homeware
140,27.567639230649203,M,Houston,3,65.58971793768973,1970-01-01 00:00:01.676931912,1970-06-13 00:00:01.676931912,Apparel
141,22.848229943993168,F,Houston,0,49.04142139940013,1970-01-01 00:00:01.653747524,1970-02-22 00:00:01.653747524,Apparel
142,26.68928143534677,M,New York,2,73.05961283158777,1970-01-01 00:00:01.684023408,1970-01-12 00:00:01.684023408,Accessories
143,32.09475154123867,M,New York,0,60.388244991989836,1970-01-01 00:00:01.683331634,1970-07-28 00:00:01.683331634,Accessories
144,32.20790338761532,F,Phoenix,1,67.79664791670146,1970-01-01 00:00:01.655731514,1970-03-03 00:00:01.655731514,Apparel
145,35.1504787764515,M,Phoenix,3,42.016457529672145,1970-01-01 00:00:01.687263418,1970-09-07 00:00:01.687263418,Apparel
146,26.041431465657958,M,New York,1,21.079539191562986,1970-01-01 00:00:01.661777383,1970-05-01 00:00:01.661777383,Apparel
147,33.165206864904356,M,New York,0,49.801831754276705,1970-01-01 00:00:01.670302611,1970-10-13 00:00:01.670302611,Apparel
148,37.52582717714755,F,Los Angeles,2,56.087824867414994,1970-01-01 00:00:01.685314071,1970-01-25 00:00:01.685314071,Homeware
149,31.13624738704392,M,New York,1,60.33993724726313,1970-01-01 00:00:01.695375219,1970-07-17 00:00:01.695375219,Apparel
150,37.081136289434454,F,Houston,1,35.082038804155864,1970-01-01 00:00:01.690206331,1970-11-12 00:00:01.690206331,Apparel
151,23.57768638093138,M,New York,3,54.688857004822594,1970-01-01 00:00:01.697657494,1970-07-21 00:00:01.697657494,Apparel
152,26.542432692599995,F,Los Angeles,1,59.65408192063867,1970-01-01 00:00:01.667825757,1970-12-22 00:00:01.667825757,Accessories
153,29.792032981034396,F,Phoenix,1,55.35184967276422,1970-01-01 00:00:01.678587454,1970-05-24 00:00:01.678587454,Accessories
154,23.485709693503303,F,Phoenix,0,54.960859644375546,1970-01-01 00:00:01.705817026,1970-02-09 00:00:01.705817026,Homeware
155,38.05564848526316,M,Houston,5,43.812043506404486,1970-01-01 00:00:01.671571145,1970-02-26 00:00:01.671571145,Apparel
156,26.873824263885197,F,Phoenix,2,62.94775774441046,1970-01-01 00:00:01.673703374,1970-05-18 00:00:01.673703374,Apparel
157,25.261623518715908,M,Houston,4,80.95977545302091,1970-01-01 00:00:01.696021986,1970-08-31 00:00:01.696021986,Apparel
158,31.726989504570682,M,Houston,2,216.991346378444,1970-01-01 00:00:01.703022483,1970-12-24 00:00:01.703022483,Accessories
159,22.379886983208948,F,Chicago,1,101.69739777996581,1970-01-01 00:00:01.703725005,1970-03-31 00:00:01.703725005,Apparel
160,32.3894008277331,F,Phoenix,2,53.019185543201424,1970-01-01 00:00:01.691694545,1970-01-28 00:00:01.691694545,Accessories
161,22.42658813924485,M,Houston,2,32.37199435858615,1970-01-01 00:00:01.706163762,1970-03-19 00:00:01.706163762,Homeware
162,30.8307691828561,M,New York,3,173.86163411910997,1970-01-01 00:00:01.669253466,1970-03-06 00:00:01.669253466,Accessories
163,22.144083088098622,F,Los Angeles,3,31.386720671729798,1970-01-01 00:00:01.656040124,1970-09-26 00:00:01.656040124,Homeware
164,39.21778195805638,F,Houston,3,24.401376714364623,1970-01-01 00:00:01.698121887,1970-12-05 00:00:01.698121887,Apparel
165,28.895786648372724,M,New York,0,39.18482393530759,1970-01-01 00:00:01.655605501,1970-07-01 00:00:01.655605501,Apparel
166,28.394057481660568,M,Houston,0,38.372914466059314,1970-01-01 00:00:01.706116138,1970-01-31 00:00:01.706116138,Accessories
167,29.21213227324964,M,New York,2,45.94796287516081,1970-01-01 00:00:01.647745191,1970-02-11 00:00:01.647745191,Apparel
168,33.86252959969659,F,Chicago,5,34.40899475084323,1970-01-01 00:00:01.685874969,1970-12-25 00:00:01.685874969,Accessories
169,35.71974502361573,F,Houston,2,76.05913225084308,1970-01-01 00:00:01.686116608,1970-08-11 00:00:01.686116608,Homeware
170,38.308069822486935,M,Los Angeles,2,126.35233212890513,1970-01-01 00:00:01.645893638,1970-09-03 00:00:01.645893638,Apparel
171,28.41042727171025,F,Chicago,5,28.721809264332105,1970-01-01 00:00:01.703721802,1970-05-24 00:00:01.703721802,Apparel
172,25.706746992271697,F,Los Angeles,1,56.53313962399141,1970-01-01 00:00:01.663670344,1970-04-08 00:00:01.663670344,Homeware
173,26.928096313185733,F,Chicago,1,37.26610543322627,1970-01-01 00:00:01.707608271,1970-06-26 00:00:01.707608271,Apparel
174,28.53777899461249,M,Houston,4,50.50092781583199,1970-01-01 00:00:01.670983234,1970-03-17 00:00:01.670983234,Apparel
175,28.609229417647,F,Houston,1,67.82459681863236,1970-01-01 00:00:01.679920091,1970-07-01 00:00:01.679920091,Apparel
176,20.814440864041842,F,New York,1,68.62550445454389,1970-01-01 00:00:01.673674720,1970-01-12 00:00:01.673674720,Accessories
177,31.977183381900755,M,Chicago,1,57.509427071343914,1970-01-01 00:00:01.673936458,1970-11-26 00:00:01.673936458,Apparel
178,30.93409586278273,M,Houston,0,68.56794872402061,1970-01-01 00:00:01.676230355,1970-07-07 00:00:01.676230355,Accessories
179,23.58158414427826,F,New York,1,54.90414566920008,1970-01-01 00:00:01.664075599,1970-06-28 00:00:01.664075599,Apparel
180,29.391632061223643,F,Houston,3,58.94313778568279,1970-01-01 00:00:01.656427549,1970-11-30 00:00:01.656427549,Apparel
181,39.33654947657011,M,Chicago,2,93.35716372583784,1970-01-01 00:00:01.671713942,1970-06-27 00:00:01.671713942,Accessories
182,28.48140357087022,M,Los Angeles,0,57.19599084892033,1970-01-01 00:00:01.679277586,1970-08-12 00:00:01.679277586,Apparel
183,39.08379878226054,M,Chicago,2,48.930384732389015,1970-01-01 00:00:01.680039792,1970-09-05 00:00:01.680039792,Apparel
184,26.769796367502657,F,New York,0,54.32134130992669,1970-01-01 00:00:01.705666141,1970-06-26 00:00:01.705666141,Apparel
185,35.16478273184235,F,Chicago,2,45.60380141572437,1970-01-01 00:00:01.674225937,1970-05-09 00:00:01.674225937,Homeware
186,28.084283752816617,F,New York,4,63.37982529801274,1970-01-01 00:00:01.646011992,1970-09-26 00:00:01.646011992,Apparel
187,21.469163908411492,F,Los Angeles,0,49.82834275735517,1970-01-01 00:00:01.694978104,1970-02-16 00:00:01.694978104,Accessories
188,27.22563939596069,F,Phoenix,4,164.26423652877207,1970-01-01 00:00:01.674363370,1970-01-14 00:00:01.674363370,Homeware
189,33.44556840422775,M,Houston,0,96.34857475692937,1970-01-01 00:00:01.652957525,1970-11-28 00:00:01.652957525,Apparel
190,30.047526350570084,F,Phoenix,5,54.29777371980209,1970-01-01 00:00:01.677384289,1970-07-21 00:00:01.677384289,Accessories
191,28.776386187766494,M,Chicago,2,97.57350941159737,1970-01-01 00:00:01.654350883,1970-04-08 00:00:01.654350883,Apparel
192,26.571669858119105,F,New York,5,57.5717728194938,1970-01-01 00:00:01.681694262,1970-07-05 00:00:01.681694262,Apparel
193,25.765325346038814,M,Houston,1,48.387826433932304,1970-01-01 00:00:01.677861607,1970-06-13 00:00:01.677861607,Apparel
194,28.27589219060007,M,Houston,1,51.1759433747611,1970-01-01 00:00:01.681287610,1970-04-10 00:00:01.681287610,Apparel
195,20.40348759556402,M,Houston,1,64.32813953933301,1970-01-01 00:00:01.692246984,1970-06-01 00:00:01.692246984,Apparel
196,28.761854272021296,M,Los Angeles,0,58.210286163782506,1970-01-01 00:00:01.698293685,1970-08-31 00:00:01.698293685,Apparel
197,28.61336336442359,F,Phoenix,1,30.93392021466078,1970-01-01 00:00:01.645176482,1970-02-19 00:00:01.645176482,Apparel
198,29.777218938389286,M,Phoenix,1,54.05560962139659,1970-01-01 00:00:01.707529626,1970-12-26 00:00:01.707529626,Apparel
199,35.094819607925295,M,Phoenix,2,49.14873308374732,1970-01-01 00:00:01.664512530,1970-08-21 00:00:01.664512530,Homeware
200,28.289085241862562,F,Los Angeles,0,48.90668686718779,1970-01-01 00:00:01.696131576,1970-10-10 00:00:01.696131576,Apparel
201,28.070471077046616,M,Chicago,0,56.024757681752796,1970-01-01 00:00:01.706803315,1970-11-29 00:00:01.706803315,Homeware
202,27.687290003914686,F,Houston,2,52.172938505443184,1970-01-01 00:00:01.698727720,1970-12-23 00:00:01.698727720,Homeware
203,24.038890804977704,M,Houston,2,75.83468270166549,1970-01-01 00:00:01.680486965,1970-06-14 00:00:01.680486965,Accessories
204,31.92304599828496,F,Houston,3,69.78210535104823,1970-01-01 00:00:01.654540306,1970-11-10 00:00:01.654540306,Apparel
205,32.774749506561946,M,New York,2,32.07135774519096,1970-01-01 00:00:01.686823058,1970-05-24 00:00:01.686823058,Homeware
206,25.442965349243554,F,Chicago,3,73.82139111766132,1970-01-01 00:00:01.669315584,1970-03-15 00:00:01.669315584,Apparel
207,24.864485394403964,M,Phoenix,2,164.28281057073625,1970-01-01 00:00:01.701250093,1970-01-08 00:00:01.701250093,Apparel
208,22.72791545919157,F,New York,0,71.04381703153571,1970-01-01 00:00:01.653149342,1970-05-16 00:00:01.653149342,Apparel
209,37.649642760170224,M,Phoenix,2,142.78667922040162,1970-01-01 00:00:01.669440007,1970-03-20 00:00:01.669440007,Apparel
210,32.751837062266084,F,Chicago,3,103.41991220262155,1970-01-01 00:00:01.653584558,1970-01-24 00:00:01.653584558,Apparel
211,27.829203341430194,M,New York,2,47.20396798542483,1970-01-01 00:00:01.684828982,1970-02-12 00:00:01.684828982,Accessories
